import time: self [us] | cumulative | imported package
import time:      1111 |       1111 |                       pydantic_settings.sources.types
import time:      2762 |       2762 |                       pydantic_settings.sources.utils
import time:      1795 |       6546 |                     pydantic_settings.sources.base
import time:       986 |        986 |                           pydantic_settings.sources.providers.env
import time:      1369 |       2354 |                         pydantic_settings.sources.providers.aws
import time:      1213 |       1213 |                           pydantic.alias_generators
import time:      1213 |       2426 |                         pydantic_settings.sources.providers.azure
import time:      8021 |       8021 |                         pydantic_settings.sources.providers.cli
import time:      1557 |       1557 |                         pydantic_settings.sources.providers.dotenv
import time:      1256 |       1256 |                         pydantic_settings.sources.providers.gcp
import time:      1188 |       1188 |                         pydantic_settings.sources.providers.json
import time:      1437 |       1437 |                           pydantic_settings.sources.providers.toml
import time:      1253 |       2690 |                         pydantic_settings.sources.providers.pyproject
import time:      1432 |       1432 |                         pydantic_settings.sources.providers.secrets
import time:      1344 |       1344 |                         pydantic_settings.sources.providers.yaml
import time:      1482 |      23745 |                       pydantic_settings.sources.providers
import time:        96 |      23840 |                     pydantic_settings.sources.providers.aws
import time:      1996 |       1996 |                       glob
import time:      2204 |       4200 |                     pydantic_settings.sources.providers.nested_secrets
import time:      1404 |      35987 |                   pydantic_settings.sources
import time:      3734 |      44660 |                 pydantic_settings.main
import time:      1478 |       1478 |                 pydantic_settings.version
import time:      1612 |      48904 |               pydantic_settings
import time:      1419 |       1419 |               dependency_injector.errors
import time:      5633 |      55955 |             dependency_injector.providers
import time:      1197 |       1197 |             services.container.provider_registry
import time:      1703 |       1703 |                   pkgutil
import time:       589 |        589 |                       fast_depends
import time:        61 |        650 |                     fast_depends.dependencies
import time:        60 |        710 |                   fast_depends.dependencies.model
import time:       615 |        615 |                     fast_depends
import time:        72 |        686 |                   fast_depends.dependencies
import time:       784 |        784 |                     werkzeug
import time:        74 |        857 |                   werkzeug.local
import time:      2820 |       2820 |                   dependency_injector._cwiring
import time:      4164 |      10937 |                 dependency_injector.wiring
import time:      3933 |      14869 |               dependency_injector.containers
import time:      1470 |      16338 |             services.container.service_definitions
